largo_rectangulo,Intento,puntos,lecturas,arbol
0.002500,99,116,22,arboles/arbol_random_str_24.bin
0.005000,0,432,22,arboles/arbol_random_str_24.bin
0.005000,1,377,27,arboles/arbol_random_str_24.bin
0.005000,2,433,27,arboles/arbol_random_str_24.bin
0.005000,3,403,33,arboles/arbol_random_str_24.bin
0.005000,4,393,21,arboles/arbol_random_str_24.bin
0.005000,5,433,30,arboles/arbol_random_str_24.bin
0.005000,6,433,24,arboles/arbol_random_str_24.bin
0.005000,7,403,37,arboles/arbol_random_str_24.bin
0.005000,8,454,28,arboles/arbol_random_str_24.bin
0.005000,9,406,28,arboles/arbol_random_str_24.bin
0.005000,10,427,30,arboles/arbol_random_str_24.bin
0.005000,11,493,33,arboles/arbol_random_str_24.bin
0.005000,12,449,31,arboles/arbol_random_str_24.bin
0.005000,13,405,19,arboles/arbol_random_str_24.bin
0.005000,14,436,26,arboles/arbol_random_str_24.bin
0.005000,15,418,27,arboles/arbol_random_str_24.bin
0.005000,16,416,29,arboles/arbol_random_str_24.bin
0.005000,17,458,10,arboles/arbol_random_str_24.bin
0.005000,18,397,33,arboles/arbol_random_str_24.bin
0.005000,19,442,28,arboles/arbol_random_str_24.bin
0.005000,20,407,35,arboles/arbol_random_str_24.bin
0.005000,21,434,20,arboles/arbol_random_str_24.bin
0.005000,22,406,19,arboles/arbol_random_str_24.bin
0.005000,23,415,10,arboles/arbol_random_str_24.bin
0.005000,24,402,24,arboles/arbol_random_str_24.bin
0.005000,25,418,27,arboles/arbol_random_str_24.bin
0.005000,26,407,27,arboles/arbol_random_str_24.bin
0.005000,27,440,30,arboles/arbol_random_str_24.bin
0.005000,28,453,23,arboles/arbol_random_str_24.bin
0.005000,29,441,22,arboles/arbol_random_str_24.bin
0.005000,30,400,29,arboles/arbol_random_str_24.bin
0.005000,31,460,28,arboles/arbol_random_str_24.bin
0.005000,32,401,17,arboles/arbol_random_str_24.bin
0.005000,33,441,27,arboles/arbol_random_str_24.bin
0.005000,34,418,27,arboles/arbol_random_str_24.bin
0.005000,35,429,32,arboles/arbol_random_str_24.bin
0.005000,36,429,30,arboles/arbol_random_str_24.bin
0.005000,37,414,31,arboles/arbol_random_str_24.bin
0.005000,38,391,23,arboles/arbol_random_str_24.bin
0.005000,39,440,21,arboles/arbol_random_str_24.bin
0.005000,40,420,12,arboles/arbol_random_str_24.bin
0.005000,41,430,33,arboles/arbol_random_str_24.bin
0.005000,42,456,29,arboles/arbol_random_str_24.bin
0.005000,43,422,22,arboles/arbol_random_str_24.bin
0.005000,44,459,21,arboles/arbol_random_str_24.bin
0.005000,45,421,31,arboles/arbol_random_str_24.bin
0.005000,46,415,26,arboles/arbol_random_str_24.bin
0.005000,47,426,25,arboles/arbol_random_str_24.bin
0.005000,48,422,34,arboles/arbol_random_str_24.bin
